connected to i2c device 5
imu who am i is 113 
                    
calibration complete, 1.133336 -1.464904 1.466578 2.999823 -3.082301 0.000000
shared memory attached at address 0xb6faa000
segment size: 25600
   0.00000,   0.09929
   0.00000,   0.19556
   0.00000,   0.29330
   0.00000,   0.39073
   0.00000,   0.48602
   0.00000,   0.58116
   0.00000,   0.67488
   0.00000,   0.76652
   0.00000,   0.85771
   0.00000,   0.94491
   0.00000,   1.03574
   0.00000,   1.12531
   0.00000,   1.21226
   0.00000,   1.30005
   0.00000,   1.38442
   0.00000,   1.46717
   0.00000,   1.54692
   0.00000,   1.62680
   0.00000,   1.70773
   0.00000,   1.78736
   0.00000,   1.86500
   0.00000,   1.94444
   0.00000,   2.02132
   0.00000,   2.09840
   0.00000,   2.17261
   0.00000,   2.24595
   0.00000,   2.31955
   0.00000,   2.39062
   0.00000,   2.46014
   0.00000,   2.52460
   0.00000,   2.58732
   0.00000,   2.64538
   0.00000,   2.70129
   0.00000,   2.76004
   0.00000,   2.81598
   0.00000,   2.87425
   0.00000,   2.93238
   0.00000,   2.99192
   0.00000,   3.04788
   0.00000,   3.10338
   0.00000,   3.16010
   0.00000,   3.21610
   0.00000,   3.27319
   0.00000,   3.32769
   0.00000,   3.38417
   0.00000,   3.43929
   0.00000,   3.50338
   0.00000,   3.56992
   0.00000,   3.61174
   0.00000,   3.64959
   0.00000,   3.69979
   0.00000,   3.75261
   0.00000,   3.84023
   0.00000,   3.93230
   0.00000,   3.98928
   0.00000,   4.03096
   0.00000,   4.08903
   0.00000,   4.13741
   0.00000,   4.20631
   0.00000,   4.21381
   0.00000,   4.23088
   0.00000,   4.34291
   0.00000,   4.45218
   0.00000,   4.46382
   0.00000,   4.55398
   0.00000,   4.66070
   0.00000,   4.78161
   0.00000,   4.81035
   0.00000,   4.79452
   0.00000,   4.84484
   0.00000,   4.86620
   0.00000,   4.93696
   0.00000,   5.01541
   0.00000,   5.06672
   0.00000,   5.13743
   0.00000,   5.20544
   0.00000,   5.35825
   0.00000,   5.34642
   0.00000,   5.22034
   0.00000,   5.22703
   0.00000,   5.52112
   0.00000,   5.57589
   0.00000,   5.29352
   0.00000,   5.25248
   0.00000,   5.41083
   0.00000,   5.31086
   0.00000,   5.47511
   0.00000,   5.49862
   0.00000,   5.43078
   0.00000,   5.52216
   0.00000,   5.55845
   0.00000,   5.52021
   0.00000,   5.66479
   0.00000,   5.60499
   0.00000,   5.66267
   0.00000,   5.68050
   0.00000,   5.54598
   0.00000,   5.66313
   0.00000,   5.55428
   0.00000,   5.62521
   0.00000,   5.49739
   0.00000,   5.54145
   0.00000,   5.52618
   0.00000,   5.43750
   0.00000,   5.53301
   0.00000,   5.40353
   0.00000,   5.47221
   0.00000,   5.61011
   0.00000,   5.57588
   0.00000,   5.43016
   0.00000,   5.27813
   0.00000,   5.42752
   0.00000,   5.25504
   0.00000,   5.32884
   0.00000,   5.24619
   0.00000,   5.28895
   0.00000,   5.15202
   0.00000,   5.28203
   0.00000,   5.35827
   0.00000,   5.13409
   0.00000,   5.27947
   0.00000,   5.10864
   0.00000,   5.27994
   0.00000,   5.27946
   0.00000,   5.33236
   0.00000,   5.43263
   0.00000,   5.33824
   0.00000,   5.47023
   0.00000,   5.41361
   0.00000,   5.57738
   0.00000,   5.42860
   0.00000,   5.53642
   0.00000,   5.53269
   0.00000,   5.71073
   0.00000,   5.81037
   0.00000,   5.86456
   0.00000,   5.84778
   0.00000,   6.02022
   0.00000,   5.92100
   0.00000,   5.71541
   0.00000,   5.89028
   0.00000,   5.97359
   0.00000,   5.81337
   0.00000,   6.07271
   0.00000,   6.17291
   0.00000,   6.21602
   0.00000,   6.10386
   0.00000,   6.15914
   0.00000,   6.06138
   0.00000,   6.05344
   0.00000,   5.94759
   0.00000,   6.04190
   0.00000,   6.03349
   0.00000,   6.00229
   0.00000,   6.13638
   0.00000,   5.94717
   0.00000,   6.05007
   0.00000,   5.95831
   0.00000,   6.00978
   0.00000,   5.81393
   0.00000,   5.81487
   0.00000,   5.68401
   0.00000,   5.89430
   0.00000,   5.74211
   0.00000,   5.88059
   0.00000,   5.77057
   0.00000,   5.95358
   0.00000,   5.91752
   0.00000,   5.83624
   0.00000,   5.97312
   0.00000,   5.83461
   0.00000,   5.67282
   0.00000,   5.82149
   0.00000,   6.10347
   0.00000,   5.91677
   0.00000,   5.96207
   0.00000,   6.02096
   0.00000,   5.89489
   0.00000,   6.02006
   0.00000,   6.00475
   0.00000,   6.06099
   0.00000,   5.97295
   0.00000,   6.06177
   0.00000,   5.94031
   0.00000,   6.01012
   0.00000,   6.03284
   0.00000,   6.14607
   0.00000,   6.07147
   0.00000,   6.14810
   0.00000,   6.16564
   0.00000,   6.34974
   0.00000,   6.24044
   0.00000,   6.36161
   0.00000,   6.26644
   0.00000,   6.33132
   0.00000,   6.28027
   0.00000,   6.39073
   0.00000,   6.32461
   0.00000,   6.40671
   0.00000,   6.35070
   0.00000,   6.42051
   0.00000,   6.38560
   0.00000,   6.40586
   0.00000,   6.44294
   0.00000,   6.61369
   0.00000,   6.63301
   0.00000,   6.52608
   0.00000,   6.52351
   0.00000,   6.62480
   0.00000,   6.68382
   0.00000,   6.57215
   0.00000,   6.62503
   0.00000,   6.69553
   0.00000,   6.82788
   0.00000,   6.63032
   0.00000,   6.73016
   0.00000,   6.74597
   0.00000,   6.84164
   0.00000,   6.68472
   0.00000,   6.79239
   0.00000,   6.86037
   0.00000,   6.75477
   0.00000,   6.82912
   0.00000,   6.86633
   0.00000,   6.82956
   0.00000,   6.97131
   0.00000,   6.97003
   0.00000,   6.92928
   0.00000,   6.99241
   0.00000,   7.26848
   0.00000,   7.32923
   0.00000,   7.24024
   0.00000,   7.37044
   0.00000,   7.43847
   0.00000,   7.35656
   0.00000,   7.49174
   0.00000,   7.34199
   0.00000,   7.54087
   0.00000,   7.64889
   0.00000,   7.61417
   0.00000,   7.69775
   0.00000,   7.88618
   0.00000,   7.77122
   0.00000,   7.77481
   0.00000,   7.83355
